epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.03,1.02481,3.42753,1.39873,0.03013,0.78719,0.17599,0.11061,1.14351,3.65202,1.41936,0.0002727,0.0002727,0.0002727
2,272.436,0.97062,2.69592,1.3497,1,0.08589,0.20832,0.16146,1.16608,3.25225,1.50078,0.000551745,0.000551745,0.000551745
3,394.789,0.99353,2.43049,1.37737,0.83091,0.19678,0.26903,0.12838,1.63994,3.05096,2.01263,0.000828001,0.000828001,0.000828001
4,516.924,0.99707,2.25266,1.3845,0.3758,0.5575,0.32152,0.21004,1.25232,2.55593,1.71977,0.000895501,0.000895501,0.000895501
5,656.445,0.97925,2.06602,1.3406,0.44712,0.44213,0.34611,0.2104,1.26256,2.60559,1.68919,0.000891002,0.000891002,0.000891002
6,780.851,0.91232,1.95703,1.31165,0.77654,0.25212,0.32133,0.21216,1.27738,2.14786,1.64984,0.000886502,0.000886502,0.000886502
7,899.509,0.90058,1.87468,1.30153,0.64636,0.56432,0.54974,0.40412,1.10955,2.16607,1.52857,0.000882003,0.000882003,0.000882003
8,1023.12,0.94554,1.9004,1.33245,0.63317,0.37127,0.31628,0.18399,1.48043,2.76733,1.77094,0.000877503,0.000877503,0.000877503
9,1141.31,0.87646,1.79019,1.26899,0.67761,0.39518,0.4906,0.27819,1.50961,2.17156,1.77437,0.000873004,0.000873004,0.000873004
10,1263.52,0.88637,1.82214,1.29403,0.60278,0.41481,0.43655,0.23053,1.45276,2.17232,1.73878,0.000868504,0.000868504,0.000868504
11,1389.49,0.84512,1.66263,1.25576,0.55382,0.22906,0.27355,0.17276,1.46114,2.85193,1.72936,0.000864004,0.000864004,0.000864004
12,1511.84,0.83892,1.63419,1.25359,0.83868,0.30514,0.43477,0.32663,1.39253,2.09261,1.65237,0.000859505,0.000859505,0.000859505
13,1632.02,0.8689,1.67345,1.27214,0.73109,0.30466,0.44218,0.31201,1.19008,2.13321,1.51339,0.000855005,0.000855005,0.000855005
14,1752.31,0.81603,1.53205,1.22971,0.66514,0.47739,0.48627,0.33684,1.17775,1.93894,1.53389,0.000850506,0.000850506,0.000850506
15,1874.46,0.79758,1.51273,1.22461,0.55519,0.44752,0.51765,0.35782,1.16207,1.97481,1.54341,0.000846006,0.000846006,0.000846006
16,1994.62,0.81189,1.52203,1.2261,0.66493,0.4767,0.52099,0.32181,1.16849,1.90521,1.55961,0.000841507,0.000841507,0.000841507
17,2114.7,0.81471,1.55867,1.23927,0.71598,0.44846,0.53808,0.36265,1.21977,1.79336,1.56461,0.000837007,0.000837007,0.000837007
18,2235.3,0.81939,1.48793,1.22923,0.79454,0.42157,0.53591,0.39175,1.21065,1.94201,1.59641,0.000832508,0.000832508,0.000832508
19,2355.99,0.79269,1.44919,1.22793,0.79377,0.46464,0.58959,0.4043,1.13617,1.79362,1.50497,0.000828008,0.000828008,0.000828008
20,2477.28,0.78088,1.44109,1.19039,0.35206,0.62979,0.63567,0.4577,1.16065,2.00658,1.53195,0.000823509,0.000823509,0.000823509
21,2595.9,0.77215,1.35351,1.21165,0.65175,0.49287,0.52194,0.33815,1.17249,1.8294,1.49026,0.000819009,0.000819009,0.000819009
22,2715.95,0.75014,1.34348,1.18799,0.34113,0.5531,0.53373,0.31874,1.18995,2.11974,1.51575,0.000814509,0.000814509,0.000814509
23,2838.73,0.74837,1.3189,1.18545,0.39461,0.6413,0.6024,0.35265,1.23083,1.85103,1.54255,0.00081001,0.00081001,0.00081001
24,2958.36,0.74778,1.36019,1.18094,0.4502,0.61317,0.68746,0.42424,1.23552,1.9726,1.53209,0.00080551,0.00080551,0.00080551
25,3078.45,0.74759,1.31791,1.18165,0.78571,0.48142,0.62102,0.37563,1.14089,1.64523,1.4609,0.000801011,0.000801011,0.000801011
26,3198.57,0.77309,1.30462,1.18688,0.48569,0.68575,0.58545,0.44825,1.15732,1.70019,1.52792,0.000796511,0.000796511,0.000796511
27,3318.68,0.72757,1.24107,1.15705,0.49704,0.57272,0.56983,0.4188,1.11423,1.62151,1.43022,0.000792012,0.000792012,0.000792012
28,3438.96,0.72511,1.279,1.18497,0.45463,0.58189,0.58289,0.46291,1.08711,1.66553,1.41421,0.000787512,0.000787512,0.000787512
29,3556.96,0.76836,1.26707,1.18331,0.6472,0.46319,0.51582,0.36366,1.23696,1.82374,1.51697,0.000783013,0.000783013,0.000783013
30,3676.59,0.73215,1.20636,1.16896,0.7704,0.42406,0.559,0.3358,1.12962,1.65749,1.48455,0.000778513,0.000778513,0.000778513
31,3797.51,0.70938,1.14022,1.15156,0.65131,0.44733,0.57986,0.40758,1.07473,1.52347,1.40046,0.000774013,0.000774013,0.000774013
32,3917.05,0.71458,1.1781,1.14269,0.64676,0.78704,0.77939,0.57282,1.06608,1.4866,1.38054,0.000769514,0.000769514,0.000769514
33,4037.62,0.69443,1.14288,1.13454,0.53404,0.68898,0.64795,0.47536,1.11809,1.59143,1.45957,0.000765014,0.000765014,0.000765014
34,4157.94,0.70705,1.16496,1.14781,0.57112,0.65297,0.56648,0.41939,1.15398,1.68505,1.51472,0.000760515,0.000760515,0.000760515
35,4279.03,0.68085,1.12778,1.12834,0.5428,0.81981,0.63781,0.49569,1.05578,1.514,1.43846,0.000756015,0.000756015,0.000756015
36,4399.98,0.65465,1.11479,1.13929,0.47987,0.80997,0.57835,0.44941,1.08993,1.66385,1.54723,0.000751516,0.000751516,0.000751516
37,4520.37,0.69883,1.12961,1.14131,0.46252,0.65657,0.61138,0.45421,1.02888,1.65811,1.36762,0.000747016,0.000747016,0.000747016
38,4642.81,0.67689,1.07581,1.12502,0.54844,0.77617,0.70184,0.5585,1.04533,1.61982,1.43854,0.000742517,0.000742517,0.000742517
39,4762.63,0.67251,1.08968,1.12751,0.50942,0.76968,0.6635,0.49116,1.08923,1.65337,1.47013,0.000738017,0.000738017,0.000738017
40,4889.44,0.65317,1.09052,1.11381,0.62765,0.70348,0.66958,0.50924,1.08089,1.59569,1.45728,0.000733518,0.000733518,0.000733518
41,5011.71,0.63414,1.03761,1.10451,0.50936,0.76076,0.69155,0.53298,1.12801,1.58056,1.49204,0.000729018,0.000729018,0.000729018
42,5130.37,0.65004,1.06224,1.11889,0.63557,0.8488,0.75528,0.55722,1.14136,1.51182,1.53432,0.000724518,0.000724518,0.000724518
43,5251.88,0.6732,1.02906,1.13418,0.59165,0.84143,0.74543,0.54076,1.03471,1.36394,1.47362,0.000720019,0.000720019,0.000720019
44,5372.18,0.63899,1.05338,1.10766,0.61841,0.67398,0.7255,0.56108,1.00029,1.33732,1.36582,0.000715519,0.000715519,0.000715519
45,5493.16,0.67593,1.06632,1.1413,0.67193,0.62538,0.70008,0.54608,0.98238,1.38122,1.36431,0.00071102,0.00071102,0.00071102
46,5612.7,0.61533,0.97671,1.08578,0.80405,0.60089,0.70589,0.5339,1.05631,1.41732,1.39569,0.00070652,0.00070652,0.00070652
47,5732.41,0.60867,0.9575,1.08192,0.59422,0.77752,0.7365,0.54478,1.05424,1.35035,1.39494,0.000702021,0.000702021,0.000702021
48,5854.2,0.63161,0.99176,1.09652,0.66181,0.50717,0.71162,0.5253,1.11338,1.41736,1.44371,0.000697521,0.000697521,0.000697521
49,5973.92,0.65759,1.01775,1.12899,0.48017,0.80495,0.59944,0.42144,1.12192,1.54036,1.46237,0.000693022,0.000693022,0.000693022
50,6093.78,0.63874,0.9773,1.11166,0.55782,0.64004,0.71383,0.55021,1.08234,1.47922,1.41621,0.000688522,0.000688522,0.000688522
51,6211.66,0.6307,0.9186,1.09967,0.77376,0.48862,0.69471,0.54616,1.09063,1.49129,1.44089,0.000684022,0.000684022,0.000684022
52,6330.99,0.60499,0.97181,1.10048,0.61868,0.806,0.81904,0.58853,1.06796,1.44298,1.43314,0.000679523,0.000679523,0.000679523
53,6450.16,0.63414,0.94327,1.10407,0.57043,0.80888,0.61629,0.47466,1.04221,1.45033,1.43183,0.000675023,0.000675023,0.000675023
54,6569.6,0.62848,0.94815,1.10513,0.56979,0.70592,0.68842,0.54784,1.03287,1.42854,1.37678,0.000670524,0.000670524,0.000670524
55,6689.47,0.61502,0.91884,1.08855,0.50402,0.84509,0.65671,0.51714,1.03596,1.41263,1.39244,0.000666024,0.000666024,0.000666024
56,6809.95,0.58492,0.88629,1.06159,0.55616,0.70397,0.67478,0.48611,1.08633,1.32469,1.50214,0.000661525,0.000661525,0.000661525
57,6930.16,0.63548,0.93214,1.10803,0.68789,0.60322,0.71026,0.41019,1.31134,1.44443,1.652,0.000657025,0.000657025,0.000657025
58,7051.41,0.60785,0.94912,1.08437,0.66089,0.62887,0.71766,0.52925,1.10733,1.47373,1.45754,0.000652526,0.000652526,0.000652526
59,7173.68,0.61563,0.90775,1.09544,0.60292,0.82055,0.71502,0.53472,1.00982,1.37189,1.42242,0.000648026,0.000648026,0.000648026
60,7298.36,0.59933,0.93896,1.09115,0.57005,0.83135,0.72587,0.54295,1.14074,1.29148,1.50315,0.000643527,0.000643527,0.000643527
61,7418.3,0.61628,0.93614,1.09596,0.59524,0.82602,0.72249,0.54715,1.11355,1.3052,1.51356,0.000639027,0.000639027,0.000639027
62,7537.18,0.5617,0.86782,1.07117,0.72134,0.8034,0.7368,0.54294,1.07463,1.28768,1.49392,0.000634527,0.000634527,0.000634527
63,7656.82,0.59797,0.85531,1.08156,0.5327,0.72335,0.73777,0.53885,1.08317,1.39812,1.45528,0.000630028,0.000630028,0.000630028
64,7776.41,0.57637,0.85063,1.06711,0.64157,0.66274,0.73662,0.53747,1.08411,1.38453,1.48179,0.000625528,0.000625528,0.000625528
65,7896.73,0.59093,0.92742,1.08915,0.72222,0.62718,0.7272,0.55947,1.04823,1.29197,1.47892,0.000621029,0.000621029,0.000621029
66,8016.19,0.57362,0.86874,1.06914,0.74446,0.61794,0.71084,0.55233,1.04109,1.39545,1.43499,0.000616529,0.000616529,0.000616529
67,8135.52,0.57173,0.81563,1.05682,0.59919,0.78094,0.72285,0.57239,1.04262,1.38155,1.43736,0.00061203,0.00061203,0.00061203
68,8258.55,0.57607,0.82777,1.06598,0.68972,0.75525,0.73841,0.57169,1.08668,1.35764,1.48891,0.00060753,0.00060753,0.00060753
69,8376.32,0.58038,0.81613,1.0708,0.82479,0.78054,0.77721,0.58559,1.08854,1.24925,1.49962,0.000603031,0.000603031,0.000603031
70,8498.11,0.5778,0.84106,1.06628,0.74216,0.8134,0.75725,0.56225,1.02768,1.36174,1.46,0.000598531,0.000598531,0.000598531
71,8618.47,0.58197,0.86822,1.08601,0.67937,0.81644,0.72425,0.56983,1.05585,1.41524,1.43552,0.000594031,0.000594031,0.000594031
72,8741.28,0.56584,0.81334,1.05169,0.69619,0.72164,0.70293,0.53927,1.0644,1.46187,1.47843,0.000589532,0.000589532,0.000589532
73,8863.49,0.56798,0.82897,1.06218,0.67042,0.7518,0.69607,0.52724,1.0943,1.53077,1.49358,0.000585032,0.000585032,0.000585032
74,8985.64,0.54268,0.77548,1.02966,0.53814,0.78795,0.68362,0.53225,1.05615,1.51449,1.43694,0.000580533,0.000580533,0.000580533
75,9107.74,0.55292,0.80475,1.06013,0.67294,0.79018,0.74099,0.5477,1.06185,1.47037,1.48702,0.000576033,0.000576033,0.000576033
76,9228.26,0.55978,0.83239,1.06755,0.54939,0.76123,0.6764,0.51228,1.00221,1.40778,1.39376,0.000571534,0.000571534,0.000571534
77,9347.85,0.55389,0.77542,1.03835,0.65724,0.80137,0.73554,0.54994,1.08429,1.3474,1.46115,0.000567034,0.000567034,0.000567034
78,9467.77,0.57101,0.80209,1.0522,0.67247,0.79656,0.72968,0.55951,1.10232,1.33159,1.49984,0.000562535,0.000562535,0.000562535
79,9588.3,0.54864,0.79755,1.03651,0.72891,0.80007,0.7533,0.57235,1.08765,1.32316,1.48548,0.000558035,0.000558035,0.000558035
80,9709.47,0.56236,0.78624,1.06611,0.59032,0.66675,0.70052,0.52852,0.99898,1.27557,1.42526,0.000553536,0.000553536,0.000553536
81,9829.99,0.55816,0.81221,1.05422,0.88056,0.48331,0.69323,0.52371,1.01001,1.23695,1.42608,0.000549036,0.000549036,0.000549036
82,9950.57,0.54831,0.78385,1.05068,0.61634,0.83544,0.72687,0.51666,1.05613,1.22161,1.49535,0.000544536,0.000544536,0.000544536
83,10071.9,0.54365,0.8116,1.03478,0.71225,0.78504,0.73944,0.5512,1.08869,1.28344,1.49507,0.000540037,0.000540037,0.000540037
84,10191.8,0.55119,0.75452,1.04641,0.58403,0.72516,0.69055,0.50713,1.07135,1.23788,1.50797,0.000535537,0.000535537,0.000535537
85,10313.5,0.53761,0.74896,1.04618,0.57583,0.69815,0.70895,0.53049,1.02776,1.22728,1.4587,0.000531038,0.000531038,0.000531038
86,10434.7,0.53122,0.74774,1.03905,0.5495,0.81354,0.70055,0.54191,1.02257,1.30405,1.4323,0.000526538,0.000526538,0.000526538
87,10556.1,0.5512,0.75036,1.0354,0.52089,0.85781,0.70963,0.5393,1.07141,1.28744,1.49754,0.000522039,0.000522039,0.000522039
88,10677.9,0.51299,0.72227,1.03675,0.51696,0.71858,0.7128,0.56029,1.03183,1.2532,1.45485,0.000517539,0.000517539,0.000517539
89,10799,0.54963,0.74898,1.05325,0.55119,0.70941,0.71137,0.54768,0.97077,1.16282,1.3889,0.00051304,0.00051304,0.00051304
90,10921.8,0.53537,0.74634,1.03059,0.78829,0.73562,0.72153,0.5711,0.95853,1.25428,1.37036,0.00050854,0.00050854,0.00050854
91,11043.5,0.54995,0.77127,1.05356,0.72501,0.79525,0.71447,0.56405,0.9658,1.19375,1.41762,0.00050404,0.00050404,0.00050404
92,11162.6,0.5463,0.75229,1.04289,0.68032,0.64399,0.70368,0.54856,0.9867,1.23417,1.46664,0.000499541,0.000499541,0.000499541
93,11284,0.51331,0.71682,1.01728,0.61449,0.63418,0.67415,0.52289,0.99144,1.20956,1.4405,0.000495041,0.000495041,0.000495041
94,11405.3,0.51109,0.70786,1.02649,0.74469,0.61378,0.71194,0.58338,1.00382,1.14931,1.43754,0.000490542,0.000490542,0.000490542
95,11528,0.51885,0.71454,1.02322,0.6707,0.82114,0.7122,0.57718,0.98232,1.24926,1.38084,0.000486042,0.000486042,0.000486042
96,11647.5,0.53661,0.76902,1.0588,0.62517,0.74118,0.71042,0.56584,0.98497,1.25555,1.39657,0.000481543,0.000481543,0.000481543
97,11769,0.54056,0.72463,1.03784,0.62294,0.74012,0.68188,0.53102,1.02581,1.31991,1.4399,0.000477043,0.000477043,0.000477043
98,11891.7,0.52374,0.73298,1.03308,0.66188,0.77701,0.67742,0.53855,1.01422,1.43488,1.43972,0.000472544,0.000472544,0.000472544
99,12011.9,0.5031,0.69113,1.02866,0.61896,0.80417,0.69051,0.53323,1.02337,1.3854,1.44727,0.000468044,0.000468044,0.000468044
100,12134.5,0.51214,0.68455,1.03525,0.70965,0.62811,0.71221,0.55232,0.99185,1.26177,1.42143,0.000463545,0.000463545,0.000463545
101,12256.9,0.52288,0.73111,1.04306,0.57256,0.7962,0.66978,0.50522,1.00934,1.17015,1.41854,0.000459045,0.000459045,0.000459045
102,12379.7,0.50695,0.70361,1.0265,0.72479,0.6788,0.72538,0.5654,0.98855,1.25571,1.41524,0.000454545,0.000454545,0.000454545
103,12501.2,0.50459,0.65138,1.0062,0.7211,0.61319,0.71124,0.53831,1.04353,1.27016,1.42914,0.000450046,0.000450046,0.000450046
104,12622.2,0.49731,0.69533,1.02427,0.73574,0.61692,0.71133,0.55143,1.06787,1.26001,1.47461,0.000445546,0.000445546,0.000445546
