epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.647,1.03281,3.50863,1.38761,0.03791,0.819,0.25746,0.17468,0.91345,3.72849,1.25768,0.00013635,0.00013635,0.00013635
2,259.198,0.91759,2.92985,1.30841,0.02498,0.80543,0.19741,0.13691,1.14629,3.57587,1.44069,0.000276211,0.000276211,0.000276211
3,373.792,0.90968,2.4076,1.28697,0.8368,0.17837,0.36486,0.27147,1.16442,2.9757,1.52208,0.000410312,0.000410312,0.000410312
4,487.949,0.92266,2.18034,1.31568,0.65439,0.27857,0.33478,0.21777,1.37749,2.67748,1.73889,0.000538653,0.000538653,0.000538653
5,601.063,0.89507,2.00555,1.29636,0.59539,0.39235,0.5027,0.25027,1.36054,2.3936,1.77379,0.000661236,0.000661236,0.000661236
6,715.749,0.89602,1.92788,1.29185,0.27709,0.26279,0.31117,0.19883,1.41902,2.37801,1.7938,0.000778059,0.000778059,0.000778059
7,833.152,0.87692,1.81377,1.27353,0.57973,0.24239,0.28803,0.17432,1.47231,2.36401,1.91357,0.000801011,0.000801011,0.000801011
8,944.605,0.84731,1.73589,1.26719,0.28852,0.635,0.41236,0.26535,1.35482,2.44023,1.7072,0.000783013,0.000783013,0.000783013
9,1056.65,0.84627,1.67352,1.25748,0.7271,0.40804,0.49175,0.32049,1.35789,2.09558,1.76439,0.000765014,0.000765014,0.000765014
10,1177.69,0.8344,1.66855,1.26076,0.42362,0.36605,0.31245,0.20723,1.52293,2.20326,1.80592,0.000747016,0.000747016,0.000747016
11,1292.61,0.82499,1.57698,1.24539,0.43294,0.426,0.50693,0.31855,1.43448,2.17154,1.73254,0.000729018,0.000729018,0.000729018
12,1403.86,0.82232,1.52055,1.24082,0.57019,0.40833,0.45247,0.35268,1.30386,2.23568,1.68188,0.00071102,0.00071102,0.00071102
13,1515.79,0.81847,1.52188,1.25057,0.6026,0.55022,0.63041,0.48498,1.16296,2.09378,1.53692,0.000693022,0.000693022,0.000693022
14,1627.91,0.78693,1.4128,1.20153,0.59305,0.57324,0.638,0.41638,1.17408,1.97248,1.5306,0.000675023,0.000675023,0.000675023
15,1739.73,0.75855,1.42875,1.19803,0.56278,0.62038,0.58438,0.44567,1.13076,2.01078,1.47498,0.000657025,0.000657025,0.000657025
16,1852.27,0.73613,1.431,1.17967,0.61869,0.57047,0.62299,0.4815,1.20703,1.94822,1.58998,0.000639027,0.000639027,0.000639027
17,1964.5,0.77338,1.45448,1.18305,0.35703,0.61764,0.48225,0.36703,1.16913,1.89628,1.56282,0.000621029,0.000621029,0.000621029
18,2076.27,0.75406,1.36478,1.19474,0.53663,0.63002,0.53816,0.40604,1.13198,1.89505,1.49399,0.000603031,0.000603031,0.000603031
19,2189.46,0.78039,1.36258,1.195,0.47198,0.73565,0.56912,0.41901,1.09443,1.76792,1.44849,0.000585032,0.000585032,0.000585032
20,2301.7,0.74177,1.28495,1.15863,0.39068,0.39987,0.53779,0.39577,1.11764,1.77728,1.46029,0.000567034,0.000567034,0.000567034
21,2413.7,0.7276,1.30387,1.16246,0.55268,0.55107,0.65135,0.44493,1.17581,1.72512,1.56764,0.000549036,0.000549036,0.000549036
22,2532.77,0.71346,1.21065,1.1499,0.4746,0.68441,0.60296,0.37963,1.20684,1.72844,1.55403,0.000531038,0.000531038,0.000531038
23,2645.02,0.6687,1.22355,1.13518,0.51329,0.5865,0.562,0.4414,1.09046,1.72983,1.46077,0.00051304,0.00051304,0.00051304
24,2756.67,0.70291,1.22042,1.15128,0.67392,0.46186,0.59024,0.45198,1.08763,1.81771,1.40409,0.000495041,0.000495041,0.000495041
25,2868.44,0.71887,1.20691,1.16496,0.83948,0.32383,0.52981,0.37161,1.14512,1.68566,1.50134,0.000477043,0.000477043,0.000477043
26,2980.12,0.67979,1.1578,1.14482,0.57646,0.61902,0.72537,0.5026,1.19442,1.71694,1.55258,0.000459045,0.000459045,0.000459045
27,3091.89,0.65606,1.13449,1.11127,0.71341,0.63895,0.76489,0.52103,1.15278,1.56394,1.51773,0.000441047,0.000441047,0.000441047
28,3204.42,0.6355,1.14002,1.10293,0.51539,0.80127,0.66505,0.48402,1.14741,1.61584,1.51012,0.000423049,0.000423049,0.000423049
29,3316.7,0.65678,1.05106,1.10152,0.46611,0.76117,0.66675,0.50336,1.0855,1.62161,1.44196,0.00040505,0.00040505,0.00040505
30,3428.79,0.64213,1.06247,1.11092,0.4597,0.61095,0.58599,0.49042,1.06944,1.73654,1.43702,0.000387052,0.000387052,0.000387052
31,3540.7,0.58292,1.01221,1.07381,0.48824,0.53754,0.63871,0.50794,1.05735,1.75308,1.39554,0.000369054,0.000369054,0.000369054
32,3652.37,0.61682,0.99076,1.07104,0.69773,0.48686,0.64415,0.47274,1.04902,1.66989,1.42764,0.000351056,0.000351056,0.000351056
33,3764.21,0.62045,1.01254,1.07965,0.508,0.70952,0.61328,0.46638,1.00992,1.5631,1.39382,0.000333058,0.000333058,0.000333058
34,3876.02,0.59305,0.97333,1.08001,0.54313,0.69694,0.68173,0.50878,1.08103,1.57525,1.46485,0.000315059,0.000315059,0.000315059
35,3987.91,0.63238,1.07024,1.09545,0.52198,0.53952,0.67311,0.52052,1.00144,1.50095,1.41531,0.000297061,0.000297061,0.000297061
36,4099.55,0.58644,0.98184,1.07913,0.67694,0.60684,0.68771,0.53742,1.02646,1.40801,1.4119,0.000279063,0.000279063,0.000279063
37,4211.76,0.58585,0.92027,1.07039,0.71219,0.61078,0.70921,0.53352,1.00485,1.33566,1.40571,0.000261065,0.000261065,0.000261065
38,4324.42,0.60383,0.92191,1.07345,0.76241,0.49263,0.70928,0.52599,1.02425,1.35494,1.39838,0.000243067,0.000243067,0.000243067
39,4435.72,0.58933,0.95155,1.0667,0.72046,0.49096,0.71081,0.53851,1.0412,1.40298,1.40391,0.000225068,0.000225068,0.000225068
40,4547.72,0.56909,0.92431,1.06777,0.54611,0.67358,0.69236,0.5438,1.05159,1.45427,1.41546,0.00020707,0.00020707,0.00020707
